Name	City	State	Enrollment	E/D Ratio	Earnings	Low Income Debt	SAT	Admission %
ITT Technical Institute-Charlotte South	Charlotte	NC	636	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Clovis	Clovis	CA	559	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Dunmore	Dunmore	PA	273	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Swartz Creek	Swartz Creek	MI	760	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Lexington	Lexington	KY	379	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Maumee	Maumee	OH	467	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Oklahoma City	Oklahoma City	OK	450	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Tulsa	Tulsa	OK	593	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-St. Petersburg	St. Petersburg	FL	258	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Baton Rouge	Baton Rouge	LA	626	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Columbia	Columbia	SC	536	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Wichita	Wichita	KS	407	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Atlanta	Atlanta	GA	699	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Mobile	Mobile	AL	527	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Chattanooga	Chattanooga	TN	274	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-South Bend	South Bend	IN	480	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Cary	Cary	NC	390	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Madison	Madison	AL	454	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Clive	Clive	IA	257	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Columbus	Columbus	OH	367	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Phoenix	Phoenix	AZ	463	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Madison	Madison	WI	362	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–High Point	High Point	NC	401	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Madison	Madison	MS	197	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Springfield	Springfield	MO	259	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Huntington	Huntington	WV	394	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Concord	Concord	CA	392	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Fort Myers	Fort Myers	FL	299	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Charlotte North	Charlotte	NC	418	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Merrillville	Merrillville	IN	381	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Tallahassee	Tallahassee	FL	361	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Salem	Salem	VA	189	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Akron	Akron	OH	235	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Corona	Corona	CA	376	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Johnson City	Johnson City	TN	162	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–DeSoto	DeSoto	TX	261	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–North Charleston	North Charleston	SC	215	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Aurora	Aurora	CO	279	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Culver City	Culver City	CA	304	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Dearborn	Dearborn	MI	484	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute–Las Vegas	North Las Vegas	NV	581	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Phoenix West	Phoenix	AZ	162	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Orlando	Orlando	FL	193	3.96389324960754	30300	7644	NA	0.7359
ITT Technical Institute-Waco	Waco	TX	168	3.96389324960754	30300	7644	NA	0.7359
Houston Community College	Houston	TX	53333	3.95384615384615	25700	6500	NA	NA
Harris School of Business-Wilmington Campus	Wilmington	DE	519	3.94696738799147	25900	6562	NA	NA
Northern New Mexico College	Espanola	NM	1432	3.94285714285714	20700	5250	NA	NA
Whatcom Community College	Bellingham	WA	3423	3.93712574850299	26300	6680	NA	NA
Northcentral Technical College	Wausau	WI	3650	3.93669370926985	29600	7519	NA	NA
Hunter Business School	Levittown	NY	878	3.933910306845	25000	6355	NA	NA
Genesee Community College	Batavia	NY	4515	3.93333333333333	23600	6000	NA	NA
Richmond School of Health and Technology	Richmond	VA	392	3.93120393120393	24800	6308.5	NA	0.9371
SBI Campus-An Affiliate of Sanford-Brown	Melville	NY	487	3.92982456140351	28000	7125	NA	NA
CUNY Borough of Manhattan Community College	New York	NY	23888	3.92579478100223	25500	6495.5	NA	NA
Henderson Community College	Henderson	KY	1519	3.9225987216531	22400	5710.5	NA	NA
ITI Technical College	Baton Rouge	LA	597	3.92115526509961	37200	9487	NA	NA
Blue Ridge Community and Technical College	Martinsburg	WV	1916	3.91764705882353	33300	8500	NA	NA
Utah State University	Logan	UT	19460	3.91515151515152	32300	8250	1085	0.9733
Orleans Technical Institute	Philadelphia	PA	532	3.91319207108681	22900	5852	NA	0.6986
Dakota College at Bottineau	Bottineau	ND	515	3.91020999275887	27000	6905	NA	NA
Feather River Community College District	Quincy	CA	1376	3.90909090909091	21500	5500	NA	NA
Green River Community College	Auburn	WA	5335	3.90735146022155	29100	7447.5	NA	NA
Orangeburg Calhoun Technical College	Orangeburg	SC	2425	3.9047619047619	20500	5250	NA	NA
Cleveland State Community College	Cleveland	TN	3187	3.90309555854643	23200	5944	890	1
GateWay Community College	Phoenix	AZ	6576	3.90082644628099	29500	7562.5	NA	NA
Maricopa Skill Center	Phoenix	AZ	1031	3.90082644628099	29500	7562.5	NA	NA
University of Hawaii-West Oahu	Pearl City	HI	1600	3.88829215896885	36200	9310	911	0.7365
Southeast Missouri Hospital College of Nursing and Health Sciences	Cape Girardeau	MO	186	3.888	48600	12500	NA	1
Palo Alto College	San Antonio	TX	6913	3.88333333333333	23300	6000	NA	NA
Hillsborough Community College	Tampa	FL	26319	3.88148148148148	26200	6750	NA	NA
John Tyler Community College	Chester	VA	6945	3.87949410260054	27300	7037	NA	NA
Beaufort County Community College	Washington	NC	1716	3.87795836897633	20400	5260.5	NA	NA
Santa Ana College	Santa Ana	CA	28221	3.8760896637609	24900	6424	NA	NA
North Central Kansas Technical College	Beloit	KS	570	3.87428571428571	33900	8750	NA	NA
Arkansas Northeastern College	Blytheville	AR	1574	3.87272727272727	21300	5500	NA	NA
Santa Barbara City College	Santa Barbara	CA	16281	3.87142857142857	27100	7000	NA	NA
Crouse Hospital College of Nursing	Syracuse	NY	294	3.86909090909091	53200	13750	NA	0.074
Hudson County Community College	Jersey City	NJ	9134	3.86666666666667	20300	5250	NA	NA
Northern Oklahoma College	Tonkawa	OK	4623	3.86662492172824	24700	6388	NA	NA
Ellis School of Nursing	Schenectady	NY	120	3.86560104387539	47400	12262	NA	0.0714
Ogeechee Technical College	Statesboro	GA	2082	3.86528893991581	20200	5226	NA	NA
Metropolitan Community College-Longview	Lees Summit	MO	5066	3.85857033051499	25100	6505	NA	NA
Word of Life Bible Institute	Pottersville	NY	650	3.85454545454545	21200	5500	NA	NA
CUNY College of Staten Island	Staten Island	NY	12805	3.85364216179926	28700	7447.5	1005	0.8995
Graham Webb International Academy of Hair	Arlington	VA	254	3.85263157894737	36600	9500	NA	NA
Northern Virginia Community College	Annandale	VA	42808	3.85253674727359	32500	8436	NA	NA
Eastern Maine Community College	Bangor	ME	1837	3.85055825937589	26900	6986	NA	0.7787
Pasco-Hernando Community College	New Port Richey	FL	8932	3.85	23100	6000	NA	NA
Vernon College	Vernon	TX	2675	3.84963768115942	25500	6624	NA	NA
Rend Lake College	Ina	IL	2562	3.84347826086957	22100	5750	NA	NA
Chabot College	Hayward	CA	12915	3.83757251227131	25800	6723	NA	NA
PCI Health Training Center	Dallas	TX	714	3.83636363636364	21100	5500	NA	NA
Trinity Valley Community College	Athens	TX	5192	3.83333333333333	23000	6000	NA	NA
MTI College	Sacramento	CA	635	3.83279914529915	28700	7488	NA	NA
Baptist Health Schools-Little Rock	Little Rock	AR	852	3.83043711561481	46400	12113.5	1010	0.6406
Middlesex County College	Edison	NJ	11325	3.82857142857143	26800	7000	NA	NA
Moraine Park Technical College	Fond du Lac	WI	3671	3.82857142857143	26800	7000	NA	NA
Clark State Community College	Springfield	OH	4589	3.82621133559807	21400	5593	NA	NA
Owensboro Community and Technical College	Owensboro	KY	3670	3.82608695652174	22000	5750	NA	NA
Lakes Region Community College	Laconia	NH	1000	3.82569326542162	33800	8835	NA	NA
Cochran School of Nursing	Yonkers	NY	157	3.82	76400	20000	NA	NA
Des Moines Area Community College	Ankeny	IA	17457	3.81906825568797	28200	7384	NA	NA
University of Wisconsin Colleges	Madison	WI	12473	3.8146740719088	26100	6842	970	0.9939
Mid-State Technical College	Wisconsin Rapids	WI	2860	3.81428571428571	26700	7000	NA	NA
Bismarck State College	Bismarck	ND	3500	3.81052631578947	36200	9500	NA	NA
The University of Texas of the Permian Basin	Odessa	TX	2674	3.81	38100	10000	1007	0.7891
SUNY Downstate Medical Center	Brooklyn	NY	336	3.80952380952381	70000	18375	NA	NA
Florida State College at Jacksonville	Jacksonville	FL	27950	3.80740740740741	25700	6750	NA	NA
Ohlone Community College	Fremont	CA	8253	3.80552457187849	29000	7620.5	NA	NA
El Camino College-Compton Center	Compton	CA	7138	3.8	20900	5500	NA	NA
El Camino Community College District	Torrance	CA	22430	3.8	20900	5500	NA	NA
Halifax Community College	Weldon	NC	1426	3.8	19000	5000	NA	NA
Stage One-The Hair School	Lake Charles	LA	127	3.8	13300	3500	NA	NA
South Puget Sound Community College	Olympia	WA	3242	3.79886506935687	24100	6344	NA	NA
El Paso Community College	El Paso	TX	29177	3.79783255011029	19800	5213.5	NA	NA
Parker University	Dallas	TX	131	3.78947368421053	36000	9500	NA	NA
Herkimer County BOCES-Practical Nursing Program	Ilion	NY	125	3.78947368421053	28800	7600	NA	1
Vermilion Community College	Ely	MN	575	3.78936012406446	28100	7415.5	NA	NA
Colorado Mountain College	Glenwood Springs	CO	3375	3.78461538461538	24600	6500	NA	NA
Hallmark Institute of Photography	Turners Falls	MA	114	3.78181818181818	20800	5500	NA	1
Forsyth Technical Community College	Winston Salem	NC	9611	3.78181818181818	20800	5500	NA	NA
Strayer University-District of Columbia	Washington	DC	1395	3.78036929057337	38900	10290	NA	NA
Strayer University-Virginia	Arlington	VA	7616	3.78036929057337	38900	10290	NA	NA
Strayer University-Maryland	Suitland	MD	3333	3.78036929057337	38900	10290	NA	NA
Strayer University-Tennessee	Memphis	TN	1626	3.78036929057337	38900	10290	NA	NA
Strayer University-Pennsylvania	Trevose	PA	2236	3.78036929057337	38900	10290	NA	NA
Strayer University-Florida	Tampa	FL	2813	3.78036929057337	38900	10290	NA	NA
Strayer University-Delaware	Newark	DE	334	3.78036929057337	38900	10290	NA	NA
Strayer University-Alabama	Birmingham	AL	523	3.78036929057337	38900	10290	NA	NA
Strayer University-North Carolina	Morrisville	NC	2974	3.78036929057337	38900	10290	NA	NA
Strayer University-New Jersey	Cherry Hill	NJ	669	3.78036929057337	38900	10290	NA	NA
Strayer University-West Virginia	Scott Depot	WV	208	3.78036929057337	38900	10290	NA	NA
Strayer University-Arkansas	Little Rock	AR	150	3.78036929057337	38900	10290	NA	NA
Strayer University-Georgia	Atlanta	GA	4655	3.78036929057337	38900	10290	NA	NA
Strayer University-Mississippi	Jackson	MS	234	3.78036929057337	38900	10290	NA	NA
Strayer University-South Carolina	Greenville	SC	1680	3.78036929057337	38900	10290	NA	NA
Strayer University-Texas	Austin	TX	667	3.78036929057337	38900	10290	NA	NA
Strayer University-Global Region	Washington	DC	2628	3.78036929057337	38900	10290	NA	NA
Albany BOCES-Adult Practical Nursing Program	Albany	NY	147	3.77894736842105	35900	9500	NA	NA
Johnson County Community College	Overland Park	KS	13922	3.77564979480164	27600	7310	NA	NA
Cape Girardeau Career and Technology Center	Cape Girardeau	MO	195	3.77267812086988	31400	8323	NA	NA
Northwest Vista College	San Antonio	TX	12999	3.77142857142857	26400	7000	NA	NA
Oklahoma State University-Oklahoma City	Oklahoma City	OK	7070	3.76881076042083	28300	7509	NA	NA
Cochise College	Douglas	AZ	3981	3.76666666666667	22600	6000	NA	NA
Kankakee Community College	Kankakee	IL	3553	3.76666666666667	22600	6000	NA	NA
Fort Worth Beauty School	Fort Worth	TX	124	3.76574153319477	15400	4089.5	NA	NA
Harford Community College	Bel Air	MD	6094	3.76400930429266	26700	7093.5	NA	NA
Manhattan Area Technical College	Manhattan	KS	620	3.76216216216216	34800	9250	NA	NA
Jones County Junior College	Ellisville	MS	4778	3.7583421145065	21400	5694	NA	NA
Modern Technology School	Fountain Valley	CA	110	3.75321845910081	37900	10098	NA	1
York County Community College	Wells	ME	1296	3.75065115471436	21600	5759	NA	NA
Lakeland Community College	Kirtland	OH	7178	3.74981250937453	25000	6667	NA	NA
New Mexico Institute of Mining and Technology	Socorro	NM	1303	3.74736842105263	35600	9500	1181	0.7042
College of the Albemarle	Elizabeth City	NC	2586	3.74	18700	5000	NA	NA
Trinidad State Junior College	Trinidad	CO	1450	3.72727272727273	20500	5500	NA	NA
Northwest Technical College	Bemidji	MN	925	3.71982032565974	26500	7124	NA	NA
Highline Community College	Des Moines	WA	4793	3.71551365589907	26800	7213	NA	NA
Montana State University-Northern	Havre	MT	1184	3.7120761451517	31200	8405	935	0.6402
Paul Mitchell The School-Danbury	Danbury	CT	109	3.70914148829302	24000	6470.5	NA	NA
Kaskaskia College	Centralia	IL	3298	3.70909090909091	20400	5500	NA	NA
Clovis Community College	Clovis	NM	2169	3.70909090909091	20400	5500	NA	NA
Brigham Young University-Provo	Provo	UT	30684	3.70590566785573	37400	10092	1263	0.6278
North Dakota State College of Science	Wahpeton	ND	3127	3.70526315789474	35200	9500	NA	NA
Bladen Community College	Dublin	NC	1485	3.7037037037037	19000	5130	NA	NA
The National Hispanic University	San Jose	CA	483	3.69736842105263	28100	7600	NA	0.9861
Southeastern Technical Institute	South Easton	MA	111	3.69473684210526	35100	9500	NA	0.35
University of Arkansas at Monticello	Monticello	AR	3280	3.69230769230769	24000	6500	NA	NA
North Country Community College	Saranac Lake	NY	1225	3.69230769230769	24000	6500	NA	NA
Onondaga Cortland Madison BOCES	Liverpool	NY	612	3.69189907038513	27800	7530	NA	NA
Columbia-Greene Community College	Hudson	NY	1580	3.68571428571429	25800	7000	NA	NA
Toledo Public Schools Adult & Continuing Education	Toledo	OH	128	3.68421052631579	35000	9500	NA	NA
Academy of Hair Technology	Greenville	SC	112	3.68286445012788	14400	3910	NA	NA
Western Dakota Technical Institute	Rapid City	SD	982	3.68	27600	7500	NA	NA
St Vincent's College	Bridgeport	CT	652	3.67719298245614	52400	14250	NA	0.8684
Linn State Technical College	Linn	MO	1120	3.67368421052632	34900	9500	NA	NA
Southern Maine Community College	South Portland	ME	6182	3.66633696010551	27800	7582.5	NA	NA
Chipola College	Marianna	FL	1832	3.664	22900	6250	NA	NA
Anthem Institute-Parsippany	Parsippany	NJ	280	3.65886467581383	27200	7434	NA	NA
Anthem Institute-Jersey City	Jersey City	NJ	453	3.65886467581383	27200	7434	NA	NA
Anthem Institute-North Brunswick	North Brunswick	NJ	360	3.65886467581383	27200	7434	NA	NA
Moberly Area Community College	Moberly	MO	4730	3.6539069914584	23100	6322	NA	NA
Irene's Myomassology Institute	Southfield	MI	286	3.65262200666869	24100	6598	NA	NA
Darton College	Albany	GA	5889	3.65072269408434	24500	6711	NA	NA
Barton County Community College	Great Bend	KS	3435	3.6505129112133	25800	7067.5	NA	NA
East Central Community College	Decatur	MS	3049	3.64880273660205	22400	6139	NA	NA
Atlanta Technical College	Atlanta	GA	4163	3.64210526315789	17300	4750	NA	NA
The University of Texas Medical Branch	Galveston	TX	651	3.63685636856369	67100	18450	NA	NA
Weatherford College	Weatherford	TX	5352	3.63663133097762	24700	6792	NA	NA
HDS Truck Driving Institute	Tucson	AZ	165	3.63307578497452	22100	6083	NA	NA
Three Rivers Community College	Norwich	CT	4779	3.62857142857143	25400	7000	NA	NA
Denmark Technical College	Denmark	SC	1571	3.62857142857143	12700	3500	NA	NA
Georgia Perimeter College	Decatur	GA	25094	3.62857142857143	25400	7000	NA	0.6379
North Iowa Area Community College	Mason City	IA	3457	3.62821035466775	26700	7359	NA	NA
Royal Beauty Careers	Houston	TX	109	3.62637362637363	16500	4550	NA	NA
EDP College of Puerto Rico Inc-San Sebastian	San Sebastian	PR	1073	3.62352941176471	15400	4250	NA	0.848
EDP College of Puerto Rico Inc-San Juan	San Juan	PR	1139	3.62352941176471	15400	4250	NA	0.848
CET-San Diego	San Diego	CA	260	3.62009355297946	17800	4917	NA	NA
CET-Sobrato	San Jose	CA	459	3.62009355297946	17800	4917	NA	NA
CET-El Centro	El Centro	CA	195	3.62009355297946	17800	4917	NA	NA
CET-San Bernardino	San Bernardino	CA	124	3.62009355297946	17800	4917	NA	NA
CET-Chicago	Chicago	IL	351	3.62009355297946	17800	4917	NA	NA
CET-Coachella	Coachella	CA	155	3.62009355297946	17800	4917	NA	NA
CET-Oxnard	Oxnard	CA	133	3.62009355297946	17800	4917	NA	NA
CET-Santa Maria	Santa Maria	CA	154	3.62009355297946	17800	4917	NA	NA
CET-Alexandria	Alexandria	VA	174	3.62009355297946	17800	4917	NA	NA
CET-Durham	Durham	NC	147	3.62009355297946	17800	4917	NA	NA
HoHoKus-Hackensack School of Business and Medical Sciences	Hackensack	NJ	524	3.61985321557408	29100	8039	NA	NA
Carteret Community College	Morehead City	NC	1593	3.61904761904762	19000	5250	NA	NA
Coconino Community College	Flagstaff	AZ	3208	3.61793372319688	23200	6412.5	NA	NA
Phoenix College	Phoenix	AZ	9649	3.61786319954777	25600	7076	NA	NA
Wilkes Community College	Wilkesboro	NC	2179	3.61739130434783	20800	5750	NA	NA
Western Iowa Tech Community College	Sioux City	IA	3938	3.61428571428571	25300	7000	NA	NA
Lower Columbia College	Longview	WA	1781	3.61245574741709	25000	6920.5	NA	NA
Anoka-Ramsey Community College	Coon Rapids	MN	7170	3.61176470588235	30700	8500	NA	NA
CUNY John Jay College of Criminal Justice	New York	NY	12437	3.61176470588235	30700	8500	940	0.4749
Amarillo College	Amarillo	TX	10300	3.60943341961461	25100	6954	NA	NA
La Belle Beauty Academy	Miami	FL	427	3.6	12600	3500	NA	NA
Northwest Shoals Community College-Muscle Shoals	Muscle Shoals	AL	3473	3.59693202856387	20400	5671.5	NA	NA
Corning Community College	Corning	NY	3455	3.59658324591638	24000	6673	NA	NA
Central Susquehanna Intermediate Unit LPN Career	Lewisburg	PA	106	3.58947368421053	34100	9500	NA	0.3262
CUNY Queens College	Flushing	NY	15449	3.58888888888889	32300	9000	1105	0.302
Southeastern Oklahoma State University	Durant	OK	3537	3.58671029448779	28500	7946	950	0.7752
Midlands Technical College	West Columbia	SC	11767	3.58518518518519	24200	6750	NA	NA
North Central Michigan College	Petoskey	MI	2573	3.58181818181818	19700	5500	NA	NA
Model College of Hair Design	Saint Cloud	MN	131	3.58181818181818	19700	5500	NA	NA
St Joseph's College of Nursing at St Joseph's Hospital Health Center	Syracuse	NY	301	3.58095238095238	56400	15750	1043	0.8571
Dallas Institute of Funeral Service	Dallas	TX	156	3.57602263956779	27800	7774	NA	NA
Bellingham Technical College	Bellingham	WA	877	3.5746835443038	35300	9875	NA	NA
University of North Carolina at Chapel Hill	Chapel Hill	NC	17791	3.5701072881983	38600	10812	1304	0.3388
University of Phoenix-Phoenix-Hohokam Campus	Phoenix	AZ	4270	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Online Campus	Phoenix	AZ	249604	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Utah Campus	Salt Lake City	UT	1426	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Puerto Rico Campus	Guaynabo	PR	897	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Southern Arizona Campus	Tucson	AZ	1810	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Colorado Campus	Lone Tree	CO	1343	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Albuquerque Campus	Albuquerque	NM	3520	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Bay Area Campus	San Jose	CA	1824	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Sacramento Valley Campus	Sacramento	CA	3463	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Hawaii Campus	Honolulu	HI	1228	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Louisiana Campus	Metairie	LA	603	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Western Washington Campus	Tukwila	WA	729	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Oregon Campus	Tigard	OR	1020	3.57009345794393	38200	10700	NA	NA
University of Phoenix-North Florida Campus	Jacksonville	FL	1158	3.57009345794393	38200	10700	NA	NA
University of Phoenix-West Florida Campus	Temple Terrace	FL	809	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Maryland Campus	Columbia	MD	680	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Oklahoma City Campus	Oklahoma City	OK	649	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Tulsa Campus	Tulsa	OK	627	3.57009345794393	38200	10700	NA	NA
University of Phoenix-West Michigan Campus	Walker	MI	750	3.57009345794393	38200	10700	NA	NA
University of Phoenix-St Louis Campus	Saint Louis	MO	790	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Boston Campus	Braintree	MA	261	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Dallas Campus	Dallas	TX	1190	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Houston Campus	Houston	TX	2366	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Idaho Campus	Meridian	ID	486	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Kansas City Campus	Kansas City	MO	766	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Atlanta Campus	Sandy Springs	GA	1598	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Chicago Campus	Schaumburg	IL	1356	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Nashville Campus	Nashville	TN	1723	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Charlotte Campus	Charlotte	NC	989	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Indianapolis Campus	Indianapolis	IN	579	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Memphis Campus	Cordova	TN	1264	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Little Rock Campus	Little Rock	AR	919	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Jersey City Campus	Jersey City	NJ	578	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Minneapolis/St Paul Campus	Saint Louis Park	MN	235	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Louisville Campus	Louisville	KY	227	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Central Valley Campus	Fresno	CA	2314	3.57009345794393	38200	10700	NA	NA
University of Phoenix-San Antonio Campus	San Antonio	TX	1015	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Austin Campus	Austin	TX	624	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Raleigh Campus	Raleigh	NC	450	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Savannah Campus	Savannah	GA	638	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Northern Nevada Campus	Reno	NV	367	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Columbia Campus	Columbia	SC	914	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Birmingham Campus	Birmingham	AL	478	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Washington DC Campus	Washington	DC	167	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Chattanooga Campus	Chattanooga	TN	536	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Baton Rouge	Baton Rouge	LA	595	3.57009345794393	38200	10700	NA	NA
University of Phoenix-Shreveport-Bossier	Bossier City	LA	319	3.57009345794393	38200	10700	NA	NA
Southern Arkansas University Tech	Camden	AR	986	3.56923076923077	23200	6500	NA	NA
Career Care Institute	Lancaster	CA	611	3.56578947368421	27100	7600	NA	NA
Farmingdale State College	Farmingdale	NY	6753	3.56190476190476	37400	10500	1010	0.4134
Lake Washington Institute of Technology	Kirkland	WA	2385	3.5609857978279	34100	9576	NA	NA
Community College of Aurora	Aurora	CO	5998	3.56	26700	7500	NA	NA
Adirondack Community College	Queensbury	NY	3389	3.54942798474626	24200	6818	NA	NA
Louisiana State University Eunice	Eunice	LA	2638	3.54223433242507	26000	7340	NA	NA
Johnston Community College	Smithfield	NC	3764	3.54036319243095	23200	6553	NA	NA
College of Coastal Georgia	Brunswick	GA	3355	3.53846153846154	23000	6500	900	0.6969
Bridgeport Hospital School of Nursing	Bridgeport	CT	154	3.53702910958904	66100	18688	NA	NA
Dickinson State University	Dickinson	ND	1993	3.53617987016414	33500	9473.5	1005	0.6641
Ashland Community and Technical College	Ashland	KY	2898	3.53333333333333	21200	6000	NA	NA
Solano Community College	Fairfield	CA	9702	3.53207547169811	23400	6625	NA	NA
Glendale Career College	Glendale	CA	361	3.52631578947368	26800	7600	NA	NA
Anoka Technical College	Anoka	MN	2072	3.52631578947368	33500	9500	NA	NA
Nevada Career Institute	Las Vegas	NV	207	3.52631578947368	26800	7600	NA	NA
Hawaii Community College	Hilo	HI	3380	3.52460412055168	20700	5873	NA	NA
Gordon College	Barnesville	GA	4580	3.52307692307692	22900	6500	848	0.4714
University of Cosmetology Arts & Sciences-San Antonio Perrin	San Antonio	TX	112	3.52298036039684	17400	4939	NA	NA
Tyler Junior College	Tyler	TX	10983	3.52107636155443	24600	6986.5	NA	NA
Wyotech-Laramie	Laramie	WY	1600	3.52092070613479	36100	10253	NA	NA
Wyo Tech-Blairsville	Blairsville	PA	1821	3.52092070613479	36100	10253	NA	NA
Morgan Community College	Fort Morgan	CO	984	3.52	26400	7500	NA	NA
Great Bay Community College	Portsmouth	NH	1658	3.51578947368421	33400	9500	NA	NA
Salem Community College	Carneys Point	NJ	1223	3.51557093425606	25400	7225	NA	NA
Emmaus Bible College	Dubuque	IA	242	3.50909090909091	19300	5500	NA	NA
Concorde Career College-North Hollywood	North Hollywood	CA	806	3.50818946436476	31700	9036	NA	1
Henry Ford Community College	Dearborn	MI	16412	3.5068578553616	22500	6416	NA	NA
Inver Hills Community College	Inver Grove Heights	MN	5217	3.50526315789474	33300	9500	NA	NA
Lancaster County Career and Technology Center	Willow Street	PA	410	3.50320102432778	34200	9762.5	NA	NA
Southeastern Community College	Whiteville	NC	1613	3.50165868042757	19000	5426	NA	NA
Cisco College	Cisco	TX	4229	3.4962962962963	23600	6750	NA	NA
Applied Technology Services	Sunset Hills	MO	160	3.49473684210526	33200	9500	NA	NA
Paris II Educational Center	Gladstone	MO	161	3.49378144878002	18400	5266.5	NA	NA
Abraham Baldwin Agricultural College	Tifton	GA	3159	3.49333333333333	26200	7500	930	0.6941
EHOVE Career Center	Milan	OH	420	3.49250698501397	27500	7874	NA	NA
Bowling Green Technical College	Bowling Green	KY	3060	3.49195480999658	25500	7302.5	NA	NA
Southwestern Michigan College	Dowagiac	MI	2698	3.49090909090909	19200	5500	NA	NA
