Name	City	State	Enrollment	E/D Ratio	Earnings	Debt	SAT	Admission %
ITT Technical Institute-Arlington	Arlington	TX	756	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Houston West	Houston	TX	630	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Murray	Murray	UT	734	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Greenfield	Greenfield	WI	885	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Sylmar	Sylmar	CA	905	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Westminster	Westminster	CO	414	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Newburgh	Newburgh	IN	528	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Mount Prospect	Mount Prospect	IL	429	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Troy	Troy	MI	1251	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Norwood	Norwood	MA	552	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Knoxville	Knoxville	TN	727	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Austin	Austin	TX	632	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Houston North	Houston	TX	837	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Norfolk	Norfolk	VA	1163	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Albuquerque	Albuquerque	NM	786	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Lake Mary	Lake Mary	FL	555	2.424	30300	12500	NA	0.7359
ITT Technical Institute-San Antonio	San Antonio	TX	814	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Torrance	Torrance	CA	776	2.424	30300	12500	NA	0.7359
ITT Technical Institute-San Bernardino	San Bernardino	CA	1249	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Jacksonville	Jacksonville	FL	749	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Omaha	Omaha	NE	735	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Fort Lauderdale	Fort Lauderdale	FL	683	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Little Rock	Little Rock	AR	466	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Oxnard	Oxnard	CA	461	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Louisville	Louisville	KY	856	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Greenville	Greenville	SC	517	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Cordova	Cordova	TN	719	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Bessemer	Bessemer	AL	803	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Orland Park	Orland Park	IL	549	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Pittsburgh	Pittsburgh	PA	350	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Getzville	Getzville	NY	586	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Webster	Webster	TX	443	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Henderson	Henderson	NV	816	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Miami	Miami	FL	680	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Harrisburg	Harrisburg	PA	352	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Tarentum	Tarentum	PA	282	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Norwood	Norwood	OH	558	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Strongsville	Strongsville	OH	450	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Richardson	Richardson	TX	730	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Arnold	Arnold	MO	638	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Oak Brook	Oak Brook	IL	451	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Albany	Albany	NY	366	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Liverpool	Liverpool	NY	337	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Saint Rose	Saint Rose	LA	623	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Richmond	Richmond	VA	713	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Lathrop	Lathrop	CA	635	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Wilmington	Wilmington	MA	488	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Bensalem	Bensalem	PA	651	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Springfield	Springfield	VA	943	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Chantilly	Chantilly	VA	697	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Canton	Canton	MI	659	2.424	30300	12500	NA	0.7359
ITT Technical Institute-King of Prussia	King of Prussia	PA	480	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Duluth	Duluth	GA	636	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Hilliard	Hilliard	OH	507	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Eden Prairie	Eden Prairie	MN	523	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Kansas City	Kansas City	MO	642	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Kennesaw	Kennesaw	GA	501	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Owings Mills	Owings Mills	MD	1190	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Warrensville Heights	Warrensville Heights	OH	474	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Charlotte South	Charlotte	NC	636	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Clovis	Clovis	CA	559	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Dunmore	Dunmore	PA	273	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Swartz Creek	Swartz Creek	MI	760	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Lexington	Lexington	KY	379	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Maumee	Maumee	OH	467	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Oklahoma City	Oklahoma City	OK	450	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Tulsa	Tulsa	OK	593	2.424	30300	12500	NA	0.7359
ITT Technical Institute-St. Petersburg	St. Petersburg	FL	258	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Baton Rouge	Baton Rouge	LA	626	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Columbia	Columbia	SC	536	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Wichita	Wichita	KS	407	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Atlanta	Atlanta	GA	699	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Mobile	Mobile	AL	527	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Chattanooga	Chattanooga	TN	274	2.424	30300	12500	NA	0.7359
ITT Technical Institute-South Bend	South Bend	IN	480	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Cary	Cary	NC	390	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Madison	Madison	AL	454	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Clive	Clive	IA	257	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Columbus	Columbus	OH	367	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Phoenix	Phoenix	AZ	463	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Madison	Madison	WI	362	2.424	30300	12500	NA	0.7359
ITT Technical Institute–High Point	High Point	NC	401	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Madison	Madison	MS	197	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Springfield	Springfield	MO	259	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Huntington	Huntington	WV	394	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Concord	Concord	CA	392	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Fort Myers	Fort Myers	FL	299	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Charlotte North	Charlotte	NC	418	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Merrillville	Merrillville	IN	381	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Tallahassee	Tallahassee	FL	361	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Salem	Salem	VA	189	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Akron	Akron	OH	235	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Corona	Corona	CA	376	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Johnson City	Johnson City	TN	162	2.424	30300	12500	NA	0.7359
ITT Technical Institute–DeSoto	DeSoto	TX	261	2.424	30300	12500	NA	0.7359
ITT Technical Institute–North Charleston	North Charleston	SC	215	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Aurora	Aurora	CO	279	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Culver City	Culver City	CA	304	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Dearborn	Dearborn	MI	484	2.424	30300	12500	NA	0.7359
ITT Technical Institute–Las Vegas	North Las Vegas	NV	581	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Phoenix West	Phoenix	AZ	162	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Orlando	Orlando	FL	193	2.424	30300	12500	NA	0.7359
ITT Technical Institute-Waco	Waco	TX	168	2.424	30300	12500	NA	0.7359
Charleston Cosmetology Institute	Charleston	SC	158	2.42276539316178	16900	6975.5	NA	NA
College of William and Mary	Williamsburg	VA	6020	2.42238143978164	42600	17586	1344	0.3464
Omega Institute	Pennsauken	NJ	241	2.42232086239696	19100	7885	NA	0.9574
Kaplan Career Institute-Franklin Mills	Philadelphia	PA	780	2.42105263157895	23000	9500	NA	NA
Hill College	Hillsboro	TX	4322	2.42105263157895	23000	9500	NA	NA
Professional Training Centers	Miami	FL	544	2.42105263157895	23000	9500	NA	NA
Florida College of Natural Health-Pompano Beach	Pompano Beach	FL	380	2.42083524552547	21100	8716	NA	NA
Florida College of Natural Health-Miami	Miami	FL	334	2.42083524552547	21100	8716	NA	NA
Florida College of Natural Health-Maitland	Maitland	FL	646	2.42083524552547	21100	8716	NA	NA
Barnes-Jewish College Goldfarb School of Nursing	Saint Louis	MO	567	2.42015968063872	48500	20040	NA	NA
Roane State Community College	Harriman	TN	5476	2.42	24200	10000	910	0.993
George Mason University	Fairfax	VA	20194	2.41948579161028	44700	18475	1152	0.5279
Three Rivers Community College	Norwich	CT	4779	2.41904761904762	25400	10500	NA	NA
Clovis Community College	Clovis	NM	2169	2.41792106198886	20400	8437	NA	NA
Minnesota State College-Southeast Technical	Winona	MN	2196	2.41780306199281	28900	11953	NA	NA
Nashville College of Medical Careers	Madison	TN	183	2.41641246486034	20200	8359.5	NA	NA
Bellingham Technical College	Bellingham	WA	877	2.41334518356464	35300	14627	NA	NA
Davidson County Community College	Thomasville	NC	3832	2.4117239787676	20900	8666	NA	NA
West Kentucky Community and Technical College	Paducah	KY	4515	2.41113878197872	21300	8834	NA	NA
Bladen Community College	Dublin	NC	1485	2.41101452953493	19000	7880.5	NA	NA
Central Carolina Technical College	Sumter	SC	4207	2.41087751371115	21100	8752	NA	NA
Mineral Area College	Park Hills	MO	3422	2.40936977133296	21600	8965	NA	NA
Santa Barbara City College	Santa Barbara	CA	16281	2.40888888888889	27100	11250	NA	NA
East Los Angeles College	Monterey Park	CA	33305	2.40797708709027	22700	9427	NA	NA
Missouri University of Science and Technology	Rolla	MO	5604	2.40506064844778	57600	23949.5	1266	0.8978
Southeast Arkansas College	Pine Bluff	AR	1686	2.40117793634613	21200	8829	NA	NA
California Hair Design Academy	La Mesa	CA	242	2.4	16800	7000	NA	NA
Brigham Young University-Idaho	Rexburg	ID	16286	2.4	28800	12000	1047	0.9936
City Colleges of Chicago-Olive-Harvey College	Chicago	IL	4024	2.4	16800	7000	NA	NA
Nevada State College	Henderson	NV	2776	2.3997995991984	47900	19960	NA	0.661
Southwest Texas Junior College	Uvalde	TX	4139	2.39950664349386	21400	8918.5	NA	NA
Moberly Area Community College	Moberly	MO	4730	2.39900301173538	23100	9629	NA	NA
Lincoln Technical Institute-New Britain	New Britain	CT	778	2.39821528165086	34400	14344	NA	NA
Lincoln Technical Institute-Shelton	Shelton	CT	768	2.39821528165086	34400	14344	NA	NA
Georgia Perimeter College	Decatur	GA	25094	2.39554842968971	25400	10603	NA	0.6379
Schilling-Douglas School of Hair Design	Newark	DE	137	2.39528165623495	19900	8308	NA	NA
Colgate University	Hamilton	NY	2927	2.39398496240601	39800	16625	1360	0.2942
St Joseph School of Nursing	North Providence	RI	132	2.39183673469388	58600	24500	NA	NA
Ridgewater College	Willmar	MN	3690	2.39166666666667	28700	12000	NA	NA
Daytona State College	Daytona Beach	FL	12899	2.38947368421053	22700	9500	NA	NA
Ross Medical Education Center-Brighton	Brighton	MI	211	2.38947368421053	22700	9500	NA	0.2535
Ross Medical Education Center-Ann Arbor	Ann Arbor	MI	218	2.38947368421053	22700	9500	NA	0.2535
Ross College-Sylvania	Sylvania	OH	318	2.38947368421053	22700	9500	NA	0.2535
Ross Medical Education Center-Davison	Davison	MI	257	2.38947368421053	22700	9500	NA	0.2535
University of Houston-Clear Lake	Houston	TX	4656	2.38850318562327	41800	17500.5	NA	NA
Sunstate Academy	Clearwater	FL	261	2.38848920863309	16600	6950	NA	NA
Arlington Career Institute	Grand Prairie	TX	254	2.38848293161741	21900	9169	NA	NA
National Louis University	Chicago	IL	1378	2.38780897528198	39800	16668	785	0.8621
Upper Valley Career Center	Piqua	OH	396	2.38433601768514	30200	12666	NA	NA
Career Quest	San Antonio	TX	348	2.38218539616779	20700	8689.5	NA	NA
Eastwick College	Ramsey	NJ	953	2.38173781091245	36100	15157	NA	0.3154
Phoenix College	Phoenix	AZ	9649	2.38139534883721	25600	10750	NA	NA
College of Business and Technology-Kendall	Miami	FL	110	2.37837837837838	17600	7400	NA	NA
College of Business and Technology-Flagler	Miami	FL	314	2.37837837837838	17600	7400	NA	NA
College of Business and Technology-Hialeah	Hialeah	FL	178	2.37837837837838	17600	7400	NA	NA
Contra Costa College	San Pablo	CA	6323	2.37777777777778	21400	9000	NA	NA
University of San Diego	San Diego	CA	5409	2.37777777777778	42800	18000	1241	0.4752
University of Baltimore	Baltimore	MD	3230	2.37530864197531	48100	20250	944	0.3235
Concorde Career College-San Diego	San Diego	CA	705	2.37514579577987	22400	9431	NA	1
Oklahoma State University Institute of Technology-Okmulgee	Okmulgee	OK	2838	2.375	28500	12000	NA	NA
North Hennepin Community College	Brooklyn Park	MN	6706	2.37236804153447	32900	13868	NA	NA
New Jersey Institute of Technology	Newark	NJ	5996	2.37142857142857	49800	21000	1120	0.6851
Wake Technical Community College	Raleigh	NC	17877	2.37142857142857	24900	10500	NA	NA
Atlanta School of Massage	Atlanta	GA	160	2.36842105263158	22500	9500	NA	NA
Gateway Technical College	Kenosha	WI	8273	2.36842105263158	24300	10260	NA	NA
Arizona College of Allied Health	Glendale	AZ	691	2.36842105263158	22500	9500	NA	NA
Specs Howard School of Media Arts	Southfield	MI	942	2.36839272257509	22000	9289	NA	NA
Institute of American Indian and Alaska Native Culture	Santa Fe	NM	272	2.36666666666667	14200	6000	NA	NA
Parisian Beauty School	Hackensack	NJ	316	2.36663179916318	18100	7648	NA	NA
University of Richmond	University of Richmond	VA	3245	2.36564805057956	44900	18980	1300	0.3271
Gavilan College	Gilroy	CA	6720	2.36307549036727	20300	8590.5	NA	NA
Kaplan College-Las Vegas	Las Vegas	NV	765	2.36305048335124	22000	9310	NA	NA
Elegance International	Hollywood	CA	121	2.36230419403739	18700	7916	NA	NA
Kaplan College-Modesto	Salida	CA	755	2.36202589143766	20800	8806	NA	NA
Kaplan College-Fresno	Clovis	CA	425	2.36202589143766	20800	8806	NA	NA
Weatherford College	Weatherford	TX	5352	2.36115094159258	24700	10461	NA	NA
Texas A & M International University	Laredo	TX	6068	2.3598615916955	34100	14450	892	0.4838
TESST College of Technology-Towson	Towson	MD	361	2.35789473684211	22400	9500	NA	NA
Berkshire Community College	Pittsfield	MA	2158	2.35782230317749	23300	9882	NA	NA
Central Lakes College-Brainerd	Brainerd	MN	2923	2.35706462212486	26900	11412.5	NA	NA
California State University-Fullerton	Fullerton	CA	30702	2.35579668760708	33000	14008	998	0.4515
George Washington University	Washington	DC	10184	2.35294117647059	49100	20867.5	1300	0.3169
Hair Design Institute at Fifth Avenue-Brooklyn	Brooklyn	NY	127	2.3523839595832	14900	6334	NA	NA
Hair Design Institute at Fifth Avenue-New York	New York	NY	324	2.3523839595832	14900	6334	NA	NA
Virginia Western Community College	Roanoke	VA	5584	2.35238095238095	24700	10500	NA	NA
Cincinnati College of Mortuary Science	Cincinnati	OH	126	2.35209408376335	39200	16666	NA	0.6
Lake Washington Institute of Technology	Kirkland	WA	2385	2.35172413793103	34100	14500	NA	NA
Villanova University	Villanova	PA	6898	2.35127478753541	58100	24710	1306	0.4397
California State University-Dominguez Hills	Carson	CA	11154	2.34909090909091	32300	13750	840	0.5793
Rockhurst University	Kansas City	MO	1525	2.34883720930233	40400	17200	1120	0.7615
Rainy River Community College	International Falls	MN	269	2.34831460674157	20900	8900	NA	NA
Carrington College-Phoenix	Phoenix	AZ	785	2.34736842105263	22300	9500	NA	1
Carrington College-Mesa	Mesa	AZ	853	2.34736842105263	22300	9500	NA	1
Carrington College-Tucson	Tucson	AZ	592	2.34736842105263	22300	9500	NA	1
Carrington College-Phoenix Westside	Phoenix	AZ	600	2.34736842105263	22300	9500	NA	1
Carrington College-Albuquerque	Albuquerque	NM	778	2.34736842105263	22300	9500	NA	1
Carrington College-Las Vegas	Las Vegas	NV	190	2.34736842105263	22300	9500	NA	1
Barton County Community College	Great Bend	KS	3435	2.34545454545455	25800	11000	NA	NA
Columbia-Greene Community College	Hudson	NY	1580	2.34545454545455	25800	11000	NA	NA
SUNY College of Technology at Alfred	Alfred	NY	3532	2.34532374100719	32600	13900	955	0.4901
The Creative Circus	Atlanta	GA	341	2.34358244457876	60100	25644.5	NA	NA
Walla Walla Community College	Walla Walla	WA	2599	2.34261939218524	25900	11056	NA	NA
Bellus Academy	Poway	CA	388	2.34242564339652	22800	9733.5	NA	NA
Fortis College-Mobile	Mobile	AL	376	2.34150349171573	17100	7303	NA	NA
Fortis Institute-Pensacola	Pensacola	FL	759	2.34150349171573	17100	7303	NA	NA
Fortis College-Montgomery	Montgomery	AL	579	2.34150349171573	17100	7303	NA	NA
Georgia Military College-Milledgeville Campus	Milledgeville	GA	1605	2.34040528969651	24600	10511	NA	NA
P B Cosmetology Education Center	Gloucester	NJ	228	2.3388556313518	16800	7183	NA	NA
Rose State College	Midwest City	OK	7472	2.33777777777778	26300	11250	NA	NA
Fortis Institute	Cookeville	TN	282	2.33684210526316	22200	9500	NA	NA
Medvance Institute-West Palm	Palm Springs	FL	912	2.33684210526316	22200	9500	NA	NA
Medvance Institute-Miami	Miami	FL	276	2.33684210526316	22200	9500	NA	NA
American Career College-Ontario	Ontario	CA	1707	2.33684210526316	22200	9500	NA	NA
Central Maine Community College	Auburn	ME	2455	2.33636363636364	25700	11000	NA	NA
Utah College of Massage Therapy Inc-Salt Lake City	Salt Lake City	UT	369	2.33530846985012	20100	8607	NA	NA
Utah College of Massage Therapy Inc-Utah Valley	Lindon	UT	232	2.33530846985012	20100	8607	NA	NA
Utah College of Massage Therapy-Vegas	Las Vegas	NV	456	2.33530846985012	20100	8607	NA	NA
Utah College of Massage Therapy-Tempe	Tempe	AZ	437	2.33530846985012	20100	8607	NA	NA
Utah College of Massage Therapy-Phoenix	Phoenix	AZ	507	2.33530846985012	20100	8607	NA	NA
Utah College of Massage Therapy-Westminster	Westminster	CO	340	2.33530846985012	20100	8607	NA	NA
Utah College of Massage Therapy-Aurora	Aurora	CO	317	2.33530846985012	20100	8607	NA	NA
St Francis Career College	Lynwood	CA	165	2.33489827856025	37300	15975	NA	NA
Florida College	Temple Terrace	FL	501	2.33333333333333	28000	12000	1061	0.6156
Edgecombe Community College	Tarboro	NC	3075	2.33333333333333	21000	9000	NA	NA
San Diego State University	San Diego	CA	25529	2.33224755700326	35800	15350	1087	0.3002
San Diego State University-Imperial Valley Campus	Calexico	CA	655	2.33224755700326	35800	15350	928	0.3002
Palomar Institute of Cosmetology	San Marcos	CA	144	2.32908458864426	20100	8630	NA	NA
Neosho County Community College	Chanute	KS	1687	2.32884399551066	24900	10692	NA	NA
Conservatory of Recording Arts and Sciences	Tempe	AZ	691	2.32737229400188	27200	11687	NA	NA
University of the Virgin Islands	Charlotte Amalie	VI	2291	2.32727272727273	25600	11000	776	0.9535
Tucson College	Tucson	AZ	497	2.32688848920863	20700	8896	NA	NA
Concorde Career Institute-Miramar	Miramar	FL	511	2.32636928289102	20600	8855	NA	1
Crowley's Ridge College	Paragould	AR	175	2.325	27900	12000	NA	NA
Lincoln College of Technology-Indianapolis	Indianapolis	IN	1603	2.325	27900	12000	NA	NA
Charter College-Anchorage	Anchorage	AK	1651	2.32412931871791	33500	14414	NA	NA
West Los Angeles College	Culver City	CA	9972	2.32352941176471	23700	10200	NA	NA
American University of Health Sciences	Signal Hill	CA	185	2.32190953840438	37500	16150.5	NA	0.7922
Chamberlain College of Nursing-Illinois	Addison	IL	1348	2.32	58000	25000	NA	0.8121
Chamberlain College of Nursing-Ohio	Columbus	OH	599	2.32	58000	25000	NA	0.8121
Chamberlain College of Nursing-Arizona	Phoenix	AZ	406	2.32	58000	25000	NA	0.8121
Chamberlain College of Nursing-Florida	Jacksonville	FL	339	2.32	58000	25000	NA	0.8121
Chamberlain College of Nursing-Virginia	Arlington	VA	219	2.32	58000	25000	NA	0.8121
Chamberlain College of Nursing-Missouri	St. Louis	MO	7952	2.32	58000	25000	NA	0.8121
Chamberlain College of Nursing-Texas	Houston	TX	111	2.32	58000	25000	NA	0.8121
Capri Institute of Hair Design-Clifton	Clifton	NJ	320	2.31846019247594	21200	9144	NA	NA
Texas A & M University-College Station	College Station	TX	39740	2.31819539075436	42700	18419.5	1215	0.6379
Perry Technical Institute	Yakima	WA	695	2.31779836813719	41900	18077.5	NA	NA
Iowa Central Community College	Fort Dodge	IA	3796	2.31666666666667	27800	12000	NA	NA
Iowa Lakes Community College	Estherville	IA	2205	2.31666666666667	27800	12000	NA	NA
Southern Methodist University	Dallas	TX	6150	2.3163797395383	44200	19081.5	1287	0.5457
Shoreline Community College	Shoreline	WA	2341	2.31634920056816	31800	13728.5	NA	NA
Everest College-Thornton	Thornton	CO	460	2.31578947368421	22000	9500	NA	NA
Atlantic Cape Community College	Mays Landing	NJ	6935	2.31578947368421	22000	9500	NA	NA
Everest College-Aurora	Aurora	CO	485	2.31578947368421	22000	9500	NA	NA
Midwest Technical Institute-Springfield	Springfield	IL	618	2.31578947368421	22000	9500	NA	NA
Delta Technical College	Horn Lake	MS	612	2.31578947368421	22000	9500	NA	NA
Midwest Technical Institute-East Peoria	East Peoria	IL	582	2.31578947368421	22000	9500	NA	NA
Midwest Technical Institute	Moline	IL	193	2.31578947368421	22000	9500	NA	NA
Brookstone College-Charlotte	Charlotte	NC	183	2.31368186874305	20800	8990	NA	NA
Brookstone College-Greensboro	Greensboro	NC	205	2.31368186874305	20800	8990	NA	NA
Iowa Western Community College	Council Bluffs	IA	5484	2.31304347826087	26600	11500	NA	NA
Trinity College	Hartford	CT	2240	2.31282051282051	45100	19500	1265	0.304
Dakota College at Bottineau	Bottineau	ND	515	2.31164383561644	27000	11680	NA	NA
Brown Aveda Institute-Mentor	Mentor	OH	136	2.31111111111111	20800	9000	NA	NA
Brown Aveda Institute-Rocky River	Rocky River	OH	157	2.31111111111111	20800	9000	NA	NA
Porter and Chester Institute of Branford	Branford	CT	337	2.30769230769231	32100	13910	NA	NA
Los Angeles Pierce College	Woodland Hills	CA	18243	2.30739147438404	23600	10228	NA	NA
Amarillo College	Amarillo	TX	10300	2.30613744946711	25100	10884	NA	NA
Los Angeles Valley College	Valley Glen	CA	16306	2.30526315789474	21900	9500	NA	NA
Ross Medical Education Center-Lansing	Lansing	MI	216	2.30526315789474	21900	9500	NA	NA
Ross Medical Education Center-Grand Rapids	Grand Rapids	MI	194	2.30526315789474	21900	9500	NA	NA
Institute of Technology Inc	Clovis	CA	3696	2.30526315789474	21900	9500	NA	NA
Ross Medical Education Center-Fort Wayne	Fort Wayne	IN	160	2.30526315789474	21900	9500	NA	NA
Ross Medical Education Center-Niles	Niles	OH	143	2.30526315789474	21900	9500	NA	NA
Western Iowa Tech Community College	Sioux City	IA	3938	2.3	25300	11000	NA	NA
Hawaii Community College	Hilo	HI	3380	2.3	20700	9000	NA	NA
The Community College of Baltimore County	Baltimore	MD	23929	2.3	27600	12000	NA	NA
Summit College	Colton	CA	1448	2.29961673054491	27600	12002	NA	NA
Vermont Technical College	Randolph Center	VT	1503	2.29727626459144	36900	16062.5	978	0.8074
Frank Phillips College	Borger	TX	553	2.29619921363041	21900	9537.5	NA	NA
Everest College-Portland	Portland	OR	559	2.29473684210526	21800	9500	NA	0.6881
Everest College-Vancouver	Vancouver	WA	402	2.29473684210526	21800	9500	NA	0.6881
Advanced Institute of Hair Design	Greenfield	WI	124	2.29473684210526	21800	9500	NA	NA
Everest College-Dallas	Dallas	TX	1252	2.29473684210526	21800	9500	NA	0.6881
Valley Grande Institute for Academic Studies	Weslaco	TX	299	2.29473684210526	21800	9500	NA	NA
Anoka Technical College	Anoka	MN	2072	2.29389208436045	33500	14604	NA	NA
Western Technical College	La Crosse	WI	5122	2.29335881509795	28800	12558	NA	NA
Sullivan County Community College	Loch Sheldrake	NY	1373	2.29329494035376	22300	9724	NA	NA
Premiere Career College	Irwindale	CA	836	2.29166666666667	27500	12000	NA	NA
California State University-Long Beach	Long Beach	CA	29244	2.28935884525008	34100	14895	1021	0.3444
Beaufort County Community College	Washington	NC	1716	2.28904847396768	20400	8912	NA	NA
Ohio State College of Barber Styling	Columbus	OH	130	2.28653090389425	12800	5598	NA	NA
Cortiva Institute-Tucson	Tucson	AZ	193	2.28520219558642	20400	8927	NA	NA
National Holistic Institute	Emeryville	CA	305	2.28421052631579	21700	9500	NA	NA
Dabney S Lancaster Community College	Clifton Forge	VA	914	2.28421052631579	21700	9500	NA	NA
Capitol College	Laurel	MD	380	2.2824796859308	50000	21906	1042	0.561
California State University-Bakersfield	Bakersfield	CA	6832	2.28119180633147	34300	15036	921	0.6627
College of Central Florida	Ocala	FL	7777	2.2806100631919	24000	10523.5	NA	NA
Rudae's School of Beauty Culture-Ft Wayne	Fort Wayne	IN	147	2.27886056971514	15200	6670	NA	NA
Orangeburg Calhoun Technical College	Orangeburg	SC	2425	2.27777777777778	20500	9000	NA	NA
Adirondack Community College	Queensbury	NY	3389	2.27764705882353	24200	10625	NA	NA
Connors State College	Warner	OK	2563	2.27744270205066	23600	10362.5	NA	NA
Southern Careers Institute-Austin	Austin	TX	491	2.27706572129806	16700	7334	NA	NA
Southern Careers Institute-Corpus Christi	Corpus Christi	TX	356	2.27706572129806	16700	7334	NA	NA
Southern Careers Institute-Pharr	Pharr	TX	412	2.27706572129806	16700	7334	NA	NA
Southern Careers Institute-San Antonio	San Antonio	TX	993	2.27706572129806	16700	7334	NA	NA
Southern Careers Institute-Brownsville	Brownsville	TX	406	2.27706572129806	16700	7334	NA	NA
Southern Careers Institute-Harlingen	Harlingen	TX	376	2.27706572129806	16700	7334	NA	NA
San Antonio College	San Antonio	TX	22087	2.27619047619048	23900	10500	NA	NA
City Colleges of Chicago-Kennedy-King College	Chicago	IL	4472	2.275	18200	8000	NA	NA
Paroba College of Cosmetology	Everett	WA	133	2.27365002030045	16800	7389	NA	NA
Greater Altoona Career & Technology Center	Altoona	PA	267	2.27189781021898	24900	10960	NA	NA
TESST College of Technology-Baltimore	Baltimore	MD	732	2.27173913043478	20900	9200	NA	NA
MCI Institute of Technology	West Palm Beach	FL	344	2.2713130056005	14600	6428	NA	NA
