School.Name	State	Admin1987	Admin2011	Student1987	Student2011	AdminFC	StudentFC	AdmintoStudentFCRatio
Harding University	Arkansas	58	234	2641	5668	4.03448275862069	2.14615675880348	1.87986396709902
Kentucky Wesleyan College	Kentucky	24	46	682	696	1.91666666666667	1.02052785923754	1.87811302681992
Spoon River College	Illinois	30	61	1093	1184	2.03333333333333	1.0832570905764	1.87705518018018
SUNY College of Agriculture and Technology at Cobleskill	New York	77	128	2786	2468	1.66233766233766	0.885857860732233	1.87652865772801
University of Oklahoma Norman Campus	Oklahoma	802	2025	16996	22875	2.52493765586035	1.34590491880442	1.87601488083071
Wesleyan University	Connecticut	150	323	2857	3281	2.15333333333333	1.14840742037102	1.87506044905009
Del Mar College	Texas	76	139	5831	5692	1.82894736842105	0.97616189332876	1.87361070015164
SUNY College at Potsdam	New York	88	199	3672	4433	2.26136363636364	1.2072440087146	1.87316202858725
DePauw University	Indiana	103	194	2338	2351	1.88349514563107	1.00556030795552	1.8730802426565
University of Missouri-St Louis	Missouri	204	513	7824	10505	2.51470588235294	1.342663599182	1.8729232578324
Point Loma Nazarene University	California	62	210	1848	3345	3.38709677419355	1.81006493506494	1.87125705193114
Texas State Technical College Waco	Texas	64	133	4218	4688	2.078125	1.11142721669037	1.86978055674061
Lake Michigan College	Michigan	39	103	1749	2471	2.64102564102564	1.4128073184677	1.86934595149893
Gettysburg College	Pennsylvania	89	231	1952	2712	2.59550561797753	1.38934426229508	1.86815153624341
Patrick Henry Community College	Virginia	12	54	1037	2512	4.5	2.42237222757956	1.85768312101911
Milligan College	Tennessee	20	76	565	1156	3.8	2.04601769911504	1.85726643598616
Messiah College	Pennsylvania	68	196	1969	3058	2.88235294117647	1.55307262569832	1.85590351248413
Lamar State College-Orange	Texas	10	51	661	1817	5.1	2.74886535552194	1.85531095211888
Coppin State University	Maryland	74	246	1756	3149	3.32432432432432	1.79328018223235	1.85376739076326
SUNY College at Geneseo	New York	97	201	5018	5610	2.07216494845361	1.11797528895974	1.85349798776118
Ithaca College	New York	153	349	5658	6975	2.28104575163399	1.23276776246023	1.85034506992761
University of California-Santa Barbara	California	610	1482	17383	22831	2.42950819672131	1.31340965310936	1.84977184458003
University of Southern Mississippi	Mississippi	308	846	9478	14080	2.74675324675325	1.48554547372863	1.84898631198347
Jacksonville University	Florida	63	204	1838	3219	3.23809523809524	1.75136017410229	1.8489030902824
Princeton Theological Seminary	New Jersey	43	74	551	513	1.72093023255814	0.931034482758621	1.84840654608096
Universidad Del Este	Puerto Rico	60	287	4127	10688	4.78333333333333	2.58977465471287	1.84700754740519
CUNY Graduate School and University Center	New York	188	318	3365	3084	1.69148936170213	0.916493313521545	1.84561014984684
South Central College	Minnesota	15	64	1259	2912	4.26666666666667	2.31294678316124	1.84468864468864
Edmonds Community College	Washington	51	173	4015	7391	3.3921568627451	1.84084682440847	1.84271543822508
North Central Michigan College	Michigan	14	34	1255	1655	2.42857142857143	1.31872509960159	1.84160552438498
Clackamas Community College	Oregon	41	106	3174	4458	2.58536585365854	1.40453686200378	1.84072481370843
Mitchell College	Connecticut	44	94	738	857	2.13636363636364	1.16124661246612	1.83971571019412
Vaughn College of Aeronautics and Technology	New York	20	53	1144	1651	2.65	1.44318181818182	1.83622047244094
Multnomah University	Oregon	28	73	597	848	2.60714285714286	1.42043551088777	1.8354531671159
Paine College	Georgia	46	108	641	822	2.34782608695652	1.28237129485179	1.8308473500476
Mohave Community College	Arizona	31	112	1957	3863	3.61290322580645	1.973939703628	1.83030070227886
Tuskegee University	Alabama	176	323	3138	3147	1.83522727272727	1.00286806883365	1.82997876765751
San Juan College	New Mexico	26	150	1628	5135	5.76923076923077	3.1541769041769	1.82907647367238
Washington University in St Louis	Missouri	1572	4815	8116	13612	3.06297709923664	1.67718087727945	1.82626521726452
Michigan Technological University	Michigan	221	450	5724	6385	2.03619909502262	1.1154786862334	1.82540385589812
Northwest Missouri State University	Missouri	83	218	4313	6223	2.62650602409639	1.44284720612103	1.82036324633259
Mt Hood Community College	Oregon	51	93	4874	4884	1.82352941176471	1.00205170291342	1.81979573156044
Oberlin College	Ohio	182	344	2851	2963	1.89010989010989	1.03928446159242	1.8186646293295
Santa Fe Community College	New Mexico	20	119	938	3071	5.95	3.27398720682303	1.81735591012699
Occidental College	California	78	193	1651	2248	2.47435897435897	1.36159903089037	1.81724495848161
Pennsylvania State University-Penn State Altoona	Pennsylvania	27	95	2165	4193	3.51851851851852	1.93672055427252	1.81674042275044
Marion Technical College	Ohio	10	38	899	1886	3.8	2.09788654060067	1.81134676564157
Livingstone College	North Carolina	29	94	641	1148	3.24137931034483	1.79095163806552	1.80986423164724
Amarillo College	Texas	39	149	3064	6472	3.82051282051282	2.11227154046997	1.80872238597826
Lake Region State College	North Dakota	9	35	524	1129	3.88888888888889	2.15458015267176	1.80494045861628
Boise State University	Idaho	212	806	7869	16576	3.80188679245283	2.1064938365739	1.80484116613244
Mount Vernon Nazarene University	Ohio	33	128	989	2126	3.87878787878788	2.14964610717897	1.8043843895208
Leeward Community College	Hawaii	49	105	3812	4529	2.14285714285714	1.18809024134313	1.80361479986121
Francis Marion University	South Carolina	65	139	3101	3678	2.13846153846154	1.18606900999678	1.80298239009495
University at Buffalo	New York	578	1516	18835	27404	2.62283737024221	1.45495088930183	1.80269821443994
Amherst College	Massachusetts	115	247	1618	1931	2.14782608695652	1.19344870210136	1.79968027379371
California Institute of the Arts	California	37	114	832	1425	3.08108108108108	1.71274038461538	1.79891891891892
Edison State Community College	Ohio	14	46	1253	2289	3.28571428571429	1.8268156424581	1.79860200961118
Lyndon State College	Vermont	26	70	864	1294	2.69230769230769	1.49768518518519	1.79764593984068
Greenfield Community College	Massachusetts	41	80	1394	1514	1.95121951219512	1.08608321377331	1.79656538969617
Transylvania University	Kentucky	49	105	977	1166	2.14285714285714	1.19344933469806	1.79551580494977
Bemidji State University	Minnesota	63	135	3845	4593	2.14285714285714	1.19453836150845	1.79387888401605
Kapiolani Community College	Hawaii	42	116	3347	5154	2.76190476190476	1.53988646549149	1.79357687972356
Hagerstown Community College	Maryland	24	88	1566	3203	3.66666666666667	2.04533844189017	1.79269434904777
Northeastern Junior College	Colorado	32	63	1390	1529	1.96875	1.1	1.78977272727273
Big Sandy Community and Technical College	Kentucky	17	62	1377	2810	3.64705882352941	2.04066811909949	1.78718861209964
Goshen College	Indiana	47	80	1011	963	1.70212765957447	0.952522255192878	1.78696891363425
Northwestern Connecticut Community College	Connecticut	34	49	1079	872	1.44117647058824	0.808155699721965	1.78329060982191
Mills College	California	55	150	975	1493	2.72727272727273	1.53128205128205	1.78103878706692
Wittenberg University	Ohio	83	135	2215	2024	1.62650602409639	0.913769751693002	1.77999547597505
Farmingdale State College	New York	112	169	7749	6571	1.50892857142857	0.84798038456575	1.7794380611779
Oakland Community College	Michigan	88	232	13649	20223	2.63636363636364	1.48164700710675	1.77934664850553
Caldwell Community College and Technical Institute	North Carolina	29	88	1412	2411	3.03448275862069	1.70750708215297	1.77714212159785
University of Houston	Texas	696	2216	18677	33490	3.18390804597701	1.79311452588746	1.77563005597828
Drake University	Iowa	180	425	3786	5036	2.36111111111111	1.33016376122557	1.77505295207837
Truman State University	Missouri	111	194	5656	5571	1.74774774774775	0.98497171145686	1.77441415567425
Washington and Lee University	Virginia	143	278	1902	2087	1.94405594405594	1.09726603575184	1.77172707503326
Ohio Wesleyan University	Ohio	75	162	1616	1971	2.16	1.21967821782178	1.77095890410959
Claflin University	South Carolina	31	140	772	1970	4.51612903225806	2.55181347150259	1.76977239233666
Assumption College	Massachusetts	70	154	2113	2627	2.2	1.24325603407478	1.76954701180053
Pennsylvania State University-Penn State Abington	Pennsylvania	28	65	2578	3386	2.32142857142857	1.31342125678821	1.76746688043203
Truckee Meadows Community College	Nevada	37	122	3718	6944	3.2972972972973	1.86767079074771	1.76545958400797
Saint Vincent College	Pennsylvania	50	154	1104	1929	3.08	1.74728260869565	1.76273716951789
University of the Virgin Islands	Virgin Islands	86	217	1411	2020	2.52325581395349	1.43160878809355	1.76253166014276
Southeastern Louisiana University	Louisiana	112	379	6742	12959	3.38392857142857	1.92212993177099	1.76050979462701
Connors State College	Oklahoma	16	43	1124	1717	2.6875	1.52758007117438	1.75931857891672
Paul D Camp Community College	Virginia	6	19	608	1095	3.16666666666667	1.80098684210526	1.75829528158295
Colorado Northwestern Community College	Colorado	23	41	785	796	1.78260869565217	1.0140127388535	1.75797465588814
Hofstra University	New York	320	724	8679	11187	2.2625	1.28897338403042	1.75527286135693
University of Louisville	Kentucky	964	2379	13911	19570	2.46784232365145	1.4068003738049	1.75422353420109
University of Central Missouri	Missouri	163	345	8026	9700	2.11656441717791	1.20857214054323	1.7512934033268
Southern Connecticut State University	Connecticut	113	241	7623	9285	2.13274336283186	1.21802439984258	1.75098574635081
GateWay Community College	Arizona	22	73	1882	3567	3.31818181818182	1.89532412327311	1.75071998368887
SUNY Institute of Technology at Utica-Rome	New York	47	89	1720	1863	1.8936170212766	1.08313953488372	1.74826692248832
Wayne State College	Nebraska	48	118	2205	3101	2.45833333333333	1.40634920634921	1.74802483069977
New Mexico Junior College	New Mexico	28	69	1465	2066	2.46428571428571	1.41023890784983	1.74742428433135
Aims Community College	Colorado	57	98	3795	3735	1.71929824561404	0.984189723320158	1.74691749453956
SUNY College of Technology at Alfred	New York	81	144	3471	3534	1.77777777777778	1.01815038893691	1.74608564421807
Tulsa Community College	Oklahoma	87	240	8310	13141	2.75862068965517	1.58134777376655	1.74447438787265
Northeastern University	Massachusetts	788	1569	22498	25713	1.99111675126904	1.14290159125256	1.74215940069423
Heidelberg University	Ohio	39	87	952	1219	2.23076923076923	1.28046218487395	1.74215939925538
Edison State College	Florida	38	204	3882	11977	5.36842105263158	3.08526532715095	1.7400192474172
Shelton State Community College	Alabama	31	94	2416	4211	3.03225806451613	1.74296357615894	1.7397139595989
Eastern Arizona College	Arizona	30	84	2584	4162	2.8	1.61068111455108	1.73839500240269
Columbia State Community College	Tennessee	27	74	2232	3526	2.74074074074074	1.57974910394265	1.73492153526186
The College of Saint Rose	New York	50	205	1811	4280	4.1	2.36333517393705	1.73483644859813
Vassar College	New York	134	255	2217	2432	1.90298507462687	1.09697789806044	1.7347524302828
Manchester University	Indiana	46	114	956	1367	2.47826086956522	1.42991631799163	1.73315098120289
Edgewood College	Wisconsin	19	138	563	2360	7.26315789473684	4.19182948490231	1.73269402319358
Duquesne University	Pennsylvania	180	591	5047	9564	3.28333333333333	1.89498712106202	1.73264150285794
University of Pittsburgh-Greensburg	Pennsylvania	23	60	1160	1747	2.60869565217391	1.50603448275862	1.73216196709888
Northern Illinois University	Illinois	693	1250	18591	19396	1.8037518037518	1.04330052175784	1.72888996615538
Ferris State University	Michigan	216	411	10918	12019	1.90277777777778	1.10084264517311	1.72847389780995
Columbia College	South Carolina	40	78	1086	1226	1.95	1.12891344383057	1.72732463295269
The University of Texas at Austin	Texas	2535	4826	41967	46261	1.90374753451677	1.10231848833607	1.72703946696062
Flagler College-St Augustine	Florida	23	98	1117	2756	4.26086956521739	2.46732318710833	1.72691992175175
Doane College-Crete	Nebraska	34	89	715	1084	2.61764705882353	1.51608391608392	1.72658454525722
Ohio State University-Marion Campus	Ohio	13	40	755	1347	3.07692307692308	1.7841059602649	1.72463023242533
Lewis and Clark Community College	Illinois	50	122	3006	4262	2.44	1.41783100465735	1.72093852651337
Iona College	New York	116	210	3901	4111	1.81034482758621	1.05383235067931	1.71786795728869
Highland Community College	Illinois	33	55	1654	1605	1.66666666666667	0.97037484885127	1.71754932502596
Towson University	Maryland	258	725	11857	19403	2.81007751937985	1.63641730623261	1.71721327358073
Belhaven University	Mississippi	12	119	507	2928	9.91666666666667	5.77514792899408	1.71712773224044
Wilberforce University	Ohio	37	53	718	599	1.43243243243243	0.834261838440111	1.71700582051166
Austin College	Texas	46	81	1223	1255	1.76086956521739	1.02616516762061	1.71597089901264
Lander University	South Carolina	45	113	2015	2950	2.51111111111111	1.46401985111663	1.71521657250471
Allegany College of Maryland	Maryland	32	90	1568	2573	2.8125	1.64094387755102	1.71395258453168
Millikin University	Illinois	45	113	1635	2397	2.51111111111111	1.46605504587156	1.71283548880545
University of Puerto Rico-Bayamon	Puerto Rico	70	142	3910	4634	2.02857142857143	1.18516624040921	1.7116345027437
Vermilion Community College	Minnesota	8	17	522	649	2.125	1.24329501915709	1.70916795069337
Cape Cod Community College	Massachusetts	40	62	2799	2539	1.55	0.907109682029296	1.70872390705002
Oklahoma State University-Main Campus	Oklahoma	864	1811	17309	21237	2.09606481481481	1.22693396498931	1.70837622449638
Northern Oklahoma College	Oklahoma	9	40	1345	3501	4.44444444444444	2.60297397769517	1.70744866546066
Buffalo State SUNY	New York	209	409	9251	10603	1.95693779904306	1.1461463625554	1.70740654333183
Lake Superior State University	Michigan	63	111	2352	2428	1.76190476190476	1.03231292517007	1.70675453047776
Bellingham Technical College	Washington	6	39	568	2166	6.5	3.81338028169014	1.70452446906741
University of Charleston	West Virginia	37	94	951	1418	2.54054054054054	1.49106203995794	1.70384630046125
Cecil College	Maryland	25	90	716	1513	3.6	2.11312849162011	1.70363516192994
Northcentral Technical College	Wisconsin	30	71	2368	3294	2.36666666666667	1.3910472972973	1.70135600080955
Bentley University	Massachusetts	185	346	4645	5107	1.87027027027027	1.0994617868676	1.70107801163215
Rhode Island School of Design	Rhode Island	89	204	1884	2539	2.29213483146067	1.34766454352442	1.70082001672781
SUNY College at Oswego	New York	132	253	6877	7763	1.91666666666667	1.12883524792788	1.69791532483147
Concordia University-Saint Paul	Minnesota	29	123	1054	2634	4.24137931034483	2.49905123339658	1.69719582122378
Atlanta Technical College	Georgia	34	76	2721	3584	2.23529411764706	1.31716280779125	1.69705225840336
Pepperdine University	California	238	617	5001	7640	2.59243697478992	1.52769446110778	1.69696038101104
University of Mount Union	Ohio	38	122	1211	2292	3.21052631578947	1.89265070189926	1.69631211536695
Pennsylvania State University-Main Campus	Pennsylvania	1934	4682	33176	47365	2.42088934850052	1.42768869061973	1.69567032673605
Jackson State Community College	Tennessee	23	72	1825	3374	3.1304347826087	1.84876712328767	1.69325532847092
Pontifical Catholic University of Puerto Rico	Puerto Rico	87	191	6584	8537	2.19540229885057	1.29662818955043	1.69316255542136
Alabama A & M University	Alabama	155	404	2897	4461	2.60645161290323	1.53986882982396	1.69264521913935
Louisiana State University-Alexandria	Louisiana	24	50	1454	1791	2.08333333333333	1.23177441540578	1.69132700539736
Virginia Military Institute	Virginia	65	154	1310	1836	2.36923076923077	1.40152671755725	1.69046421987598
Middlebury College	Vermont	115	291	2022	3028	2.5304347826087	1.4975272007913	1.68974211705244
Trinity International University-Illinois	Illinois	22	117	561	1766	5.31818181818182	3.14795008912656	1.68941109852775
College of William and Mary	Virginia	328	716	6293	8132	2.18292682926829	1.29222946130621	1.68927183184768
Indiana Wesleyan University	Indiana	31	448	1554	13305	14.4516129032258	8.56177606177606	1.68792231879841
Yale University	Connecticut	1776	3946	10402	13697	2.22184684684685	1.3167660065372	1.68735131057172
Wheelock College	Massachusetts	45	117	922	1421	2.6	1.5412147505423	1.68698099929627
University of Nebraska-Lincoln	Nebraska	1074	2008	19366	21477	1.86964618249534	1.10900547351028	1.68587642455673
Kenyon College	Ohio	92	185	1560	1861	2.01086956521739	1.19294871794872	1.6856295119501
Talladega College	Alabama	32	53	582	572	1.65625	0.982817869415808	1.68520541958042
Baker College of Owosso	Michigan	11	64	635	2194	5.81818181818182	3.45511811023622	1.68393138311096
Malone University	Ohio	37	135	1060	2298	3.64864864864865	2.16792452830189	1.68301460729659
Indiana University-Bloomington	Indiana	1217	2967	29204	42314	2.4379622021364	1.44891110806739	1.68261682070217
State University of New York at New Paltz	New York	112	268	5248	7468	2.39285714285714	1.42301829268293	1.68153646032596
University of Puerto Rico-Medical Sciences	Puerto Rico	310	443	2655	2260	1.42903225806452	0.851224105461394	1.67879674564659
Illinois College of Optometry	Illinois	23	43	580	646	1.8695652173913	1.11379310344828	1.67855700632656
Otis College of Art and Design	California	32	97	735	1329	3.03125	1.80816326530612	1.67642494356659
SUNY College at Brockport	New York	135	303	5567	7466	2.24444444444444	1.34111729836537	1.67356311575438
Springfield College	Massachusetts	66	157	2394	3403	2.37878787878788	1.42147034252297	1.67346993294687
University of Wisconsin-La Crosse	Wisconsin	135	266	8415	9913	1.97037037037037	1.17801544860368	1.67261844715693
University of Baltimore	Maryland	99	292	2700	4766	2.94949494949495	1.76518518518519	1.67092663945371
University of Indianapolis	Indiana	50	237	1830	5193	4.74	2.83770491803279	1.67036395147314
University of Wisconsin-Eau Claire	Wisconsin	174	302	9885	10285	1.73563218390805	1.04046535154274	1.66813068915226
Pennsylvania State University-Penn State New Kensington	Pennsylvania	18	23	918	704	1.27777777777778	0.766884531590414	1.66619318181818
Fontbonne University	Missouri	24	117	631	1848	4.875	2.92868462757528	1.66456980519481
Wofford College	South Carolina	53	138	1093	1710	2.60377358490566	1.56450137236962	1.66428334988414
SUNY Westchester Community College	New York	41	137	5054	10148	3.34146341463415	2.00791452314998	1.66414624532528
Canisius College	New York	86	204	3218	4590	2.37209302325581	1.42635177128651	1.66304909560724
Miami University-Oxford	Ohio	421	836	14779	17652	1.98574821852732	1.19439745584952	1.66255228425194
University of Akron Main Campus	Ohio	362	738	19329	23707	2.03867403314917	1.22649904288892	1.66218966494033
Kalamazoo College	Michigan	54	110	1219	1494	2.03703703703704	1.22559474979491	1.66208042044722
Spokane Community College	Washington	64	149	4751	6658	2.328125	1.40138918122501	1.66129796860919
University of Wisconsin-Platteville	Wisconsin	97	245	4849	7373	2.52577319587629	1.52051969478243	1.66112494599269
Gogebic Community College	Michigan	15	22	1008	890	1.46666666666667	0.882936507936508	1.66112359550562
Central Texas College	Texas	43	317	3436	15252	7.37209302325581	4.43888242142026	1.66079934617801
Adrian College	Michigan	53	125	1130	1610	2.35849056603774	1.42477876106195	1.6553380991445
Saint Xavier University	Illinois	46	183	1590	3822	3.97826086956522	2.40377358490566	1.65500648419903
EDP College of Puerto Rico Inc-San Juan	Puerto Rico	15	31	781	978	2.06666666666667	1.25224071702945	1.65037491479209
Bowdoin College	Maine	132	274	1421	1788	2.07575757575758	1.25826882477129	1.64969324113619
Lewis University	Illinois	61	251	2264	5647	4.11475409836066	2.49425795053004	1.64969068154569
Allegheny College	Pennsylvania	87	158	1870	2059	1.81609195402299	1.10106951871658	1.64938900146818
University of Massachusetts-Dartmouth	Massachusetts	190	396	6176	7811	2.08421052631579	1.26473445595855	1.6479431840387
Labette Community College	Kansas	32	48	1365	1243	1.5	0.910622710622711	1.64722445695897
Northern Essex Community College	Massachusetts	66	118	4178	4535	1.78787878787879	1.08544758257539	1.64713507734456
University of St Thomas	Minnesota	173	568	4562	9113	3.28323699421965	1.99758877685226	1.64360004034128
Fairfield University	Connecticut	146	323	3468	4670	2.21232876712329	1.34659746251442	1.64290281892582
Mississippi State University	Mississippi	592	1732	10694	19055	2.92567567567568	1.78184028427155	1.64194047104044
Lake Land College	Illinois	22	102	2591	7318	4.63636363636364	2.82439212659205	1.64154388928918
Westminster College	Missouri	27	79	646	1152	2.92592592592593	1.78328173374613	1.64075360082305
SUNY College at Old Westbury	New York	65	150	2921	4121	2.30769230769231	1.41081821294077	1.63571201911411
Montana State University-Northern	Montana	47	68	1275	1128	1.4468085106383	0.884705882352941	1.63535536441829
Lawrence University	Wisconsin	62	141	1099	1529	2.2741935483871	1.39126478616924	1.6346230933142
Hill College	Texas	9	50	858	2917	5.55555555555556	3.3997668997669	1.63409896011884
Augustana College	Illinois	82	165	2071	2551	2.01219512195122	1.2317720907774	1.63357745886357
Three Rivers Community College	Connecticut	20	70	1404	3009	3.5	2.14316239316239	1.63310069790628
The University of Montana	Montana	254	819	6844	13513	3.2244094488189	1.97443015780245	1.63308356898664
Southeast Missouri State University	Missouri	154	336	7191	9609	2.18181818181818	1.33625365039633	1.63278744358982
Gannon University	Pennsylvania	97	206	2839	3697	2.12371134020619	1.30221909122931	1.6308402745051
Earlham College	Indiana	82	128	1103	1056	1.5609756097561	0.957388939256573	1.63045084996305
Drexel University	Pennsylvania	423	1842	8739	23347	4.35460992907801	2.67158713811649	1.62997113848515
Long Island University-C W Post Campus	New York	157	340	5252	6979	2.1656050955414	1.32882711348058	1.62971170107228
Centre College	Kentucky	52	126	874	1300	2.42307692307692	1.48741418764302	1.62905325443787
Quinnipiac University	Connecticut	63	366	2312	8249	5.80952380952381	3.56790657439446	1.62827240242685
University of Richmond	Virginia	282	530	3648	4215	1.87943262411348	1.15542763157895	1.62661215012241
Morris College	South Carolina	23	61	698	1140	2.65217391304348	1.63323782234957	1.62387490465294
Saint Joseph's University	Pennsylvania	124	431	3136	6716	3.4758064516129	2.14158163265306	1.62300908759054
University of Wyoming	Wyoming	452	944	8732	11244	2.08849557522124	1.28767750801649	1.6219088725393
Maharishi University of Management	Iowa	54	136	713	1109	2.51851851851852	1.55539971949509	1.61920983201416
Joliet Junior College	Illinois	51	179	5417	11760	3.50980392156863	2.17094332656452	1.61671835400827
Massachusetts College of Liberal Arts	Massachusetts	77	95	2278	1739	1.23376623376623	0.763388937664618	1.61616991404225
Sauk Valley Community College	Illinois	27	44	1763	1779	1.62962962962963	1.00907543959161	1.61497303936877
Maysville Community and Technical College	Kentucky	6	60	546	3387	10	6.2032967032967	1.61204605845881
Rollins College	Florida	99	230	2424	3494	2.32323232323232	1.44141914191419	1.61176735876221
Seattle Community College-South Campus	Washington	35	82	2847	4155	2.34285714285714	1.45943097997893	1.6053223310985
Southern University and A & M College	Louisiana	323	399	8567	6594	1.23529411764706	0.769697677133185	1.60490820532034
Washtenaw Community College	Michigan	62	189	4659	8850	3.04838709677419	1.89954925949775	1.60479496992892
Mt. San Jacinto Community College District	California	14	107	1874	8938	7.64285714285714	4.76947705442903	1.6024518108877
Indiana University of Pennsylvania-Main Campus	Pennsylvania	157	310	11879	14640	1.97452229299363	1.23242697196734	1.60214141519613
Georgetown College	Kentucky	52	130	965	1506	2.5	1.56062176165803	1.60192563081009
CUNY Hostos Community College	New York	71	150	3873	5109	2.11267605633803	1.31913245546088	1.60156476144004
University of Minnesota-Morris	Minnesota	60	88	1927	1765	1.46666666666667	0.915931499740529	1.60128423040604
University of Alabama in Huntsville	Alabama	286	736	3892	6256	2.57342657342657	1.60739979445015	1.60098724804607
Dakota County Technical College	Minnesota	20	52	1524	2475	2.6	1.6240157480315	1.6009696969697
Point Park University	Pennsylvania	63	204	1721	3483	3.23809523809524	2.02382335851249	1.59998906252136
Gateway Technical College	Wisconsin	33	90	3186	5431	2.72727272727273	1.70464532328939	1.5999062620311
Highline Community College	Washington	63	124	4897	6038	1.96825396825397	1.23299979579334	1.59631329621393
North Arkansas College	Arkansas	26	53	1395	1783	2.03846153846154	1.27813620071685	1.59487035678847
Gordon College	Massachusetts	68	169	1182	1845	2.48529411764706	1.56091370558376	1.59220468675275
Alabama State University	Alabama	97	272	3002	5290	2.80412371134021	1.76215856095936	1.59130045017832
McLennan Community College	Texas	43	147	3364	7227	3.41860465116279	2.14833531510107	1.59128075916862
Bossier Parish Community College	Louisiana	13	109	1040	5480	8.38461538461539	5.26923076923077	1.59124087591241
University of Central Arkansas	Arkansas	96	281	5566	10251	2.92708333333333	1.84171757096658	1.58932258641433
North Carolina A & T State University	North Carolina	104	330	5088	10159	3.17307692307692	1.99665880503145	1.58919336397435
San Diego State University	California	462	772	25819	27168	1.67099567099567	1.05224834424261	1.58802404407528
Sinclair Community College	Ohio	103	285	8713	15198	2.76699029126214	1.74429014116837	1.58631309433919
University of Massachusetts-Boston	Massachusetts	383	772	9713	12354	2.01566579634465	1.27190363430454	1.58476298202166
University of Oregon	Oregon	425	1093	14796	24042	2.57176470588235	1.62489862124899	1.58272317561914
Middlesex Community College	Massachusetts	69	191	3491	6110	2.76811594202899	1.75021483815526	1.58158637538841
University of North Carolina at Asheville	North Carolina	74	173	2294	3391	2.33783783783784	1.47820401046208	1.58153936891772
North Dakota State College of Science	North Dakota	43	69	2317	2351	1.6046511627907	1.01467414760466	1.58144480824587
Anderson University	Indiana	64	138	1803	2460	2.15625	1.36439267886855	1.58037347560976
Westfield State University	Massachusetts	78	192	3616	5634	2.46153846153846	1.55807522123894	1.57985855110456
St Catherine University	Minnesota	79	257	1929	3977	3.25316455696203	2.06168999481597	1.57791159929086
Carteret Community College	North Carolina	19	48	908	1454	2.52631578947368	1.60132158590308	1.57764424817201
Friends University	Kansas	39	141	1001	2294	3.61538461538462	2.29170829170829	1.57759372275501
Keene State College	New Hampshire	65	171	3191	5325	2.63076923076923	1.66875587590097	1.57648537378115
Guam Community College	Guam	26	68	938	1557	2.61538461538462	1.65991471215352	1.5756138530705
Cayuga County Community College	New York	28	82	1802	3352	2.92857142857143	1.86015538290788	1.57436924650528
Nicholls State University	Louisiana	125	211	5769	6187	1.688	1.0724562315826	1.5739570066268
University of Toledo	Ohio	420	830	16120	20266	1.97619047619048	1.25719602977667	1.57190321110187
Virginia Highlands Community College	Virginia	17	37	1326	1836	2.17647058823529	1.38461538461538	1.5718954248366
Chattahoochee Valley Community College	Alabama	12	25	1004	1332	2.08333333333333	1.32669322709163	1.57032032032032
Western Wyoming Community College	Wyoming	10	45	964	2765	4.5	2.86825726141079	1.56889692585895
Colby College	Maine	129	214	1721	1820	1.65891472868217	1.0575246949448	1.56867705937473
Belmont Abbey College	North Carolina	42	106	953	1534	2.52380952380952	1.6096537250787	1.56792077978519
Dominican University	Illinois	31	185	798	3038	5.96774193548387	3.80701754385965	1.56756354987364
Rappahannock Community College	Virginia	10	34	948	2057	3.4	2.16983122362869	1.56694214876033
University of Pittsburgh-Johnstown	Pennsylvania	62	99	2767	2822	1.59677419354839	1.01987712323816	1.56565350586406
College of the Siskiyous	California	14	29	1176	1556	2.07142857142857	1.32312925170068	1.56555269922879
College of Saint Mary	Nebraska	31	61	764	961	1.96774193548387	1.25785340314136	1.56436507670102
University of New Hampshire-Main Campus	New Hampshire	479	1068	10551	15041	2.22964509394572	1.42555208037153	1.56405726921224
Community College of Beaver County	Pennsylvania	21	39	1721	2046	1.85714285714286	1.18884369552586	1.56214215891635
Georgia Institute of Technology-Main Campus	Georgia	1239	3861	10821	21593	3.11622276029056	1.99547176785879	1.56164713051008
Southern University at New Orleans	Louisiana	76	126	3000	3188	1.65789473684211	1.06266666666667	1.56012679125669
University of Maine at Farmington	Maine	66	114	1917	2124	1.72727272727273	1.10798122065728	1.55893682588598
Mississippi Delta Community College	Mississippi	29	67	1524	2260	2.31034482758621	1.48293963254593	1.55794934391211
Mount Holyoke College	Massachusetts	124	256	1935	2566	2.06451612903226	1.32609819121447	1.55683503884545
Franklin and Marshall College	Pennsylvania	125	227	2199	2569	1.816	1.16825829922692	1.55445075905021
Minneapolis Community and Technical College	Minnesota	26	138	2038	6963	5.30769230769231	3.41658488714426	1.55350810327114
Weill Cornell Medical College	New York	197	578	561	1060	2.93401015228426	1.88948306595365	1.55281103342592
Carl Albert State College	Oklahoma	31	96	1071	2136	3.09677419354839	1.99439775910364	1.55273649873142
SUNY at Fredonia	New York	86	176	4357	5745	2.04651162790698	1.3185678218958	1.55207156880604
Niagara University	New York	96	231	2439	3786	2.40625	1.55227552275523	1.55014362123613
Cheyney University of Pennsylvania	Pennsylvania	73	95	1450	1218	1.3013698630137	0.84	1.54924983692107
Goldey-Beacom College	Delaware	27	36	1181	1017	1.33333333333333	0.861134631668078	1.54834480498197
University of Wisconsin-Stevens Point	Wisconsin	183	307	8295	9009	1.6775956284153	1.08607594936709	1.54463933152458
New Jersey Institute of Technology	New Jersey	156	479	5071	10102	3.07051282051282	1.99211200946559	1.5413354298971
Johnson C Smith University	North Carolina	60	132	1152	1645	2.2	1.42795138888889	1.54066869300912
